#bait_chr,bait_start,bait_stop	PIR_chr,PIR_start,PIR_stop
chr1,100105296,100123456	chr1,99701576,99706537
chr1,103573294,103579205	chr1,88066260,88069492
chr1,103573294,103579205	chr1,89254732,89256387
chr1,104064837,104072493	chr1,103570533,103572552
chr1,104093605,104100407	chr1,103417981,103424484
chr1,104093605,104100407	chr1,103659709,103660218
chr1,10445370,10461020	chr1,10135054,10141031
chr1,10489474,10494028	chr1,9819780,9836710
chr1,10494029,10510019	chr1,10891589,10903844
chr1,10517783,10519585	chr1,10198793,10200583
chr1,10517783,10519585	chr1,11001908,11006427
chr1,10517783,10519585	chr1,11006428,11009979
chr1,10531217,10535627	chr1,10859920,10887330
chr1,10531217,10535627	chr1,10969541,10977347
chr1,10531217,10535627	chr1,10978706,10988388
chr1,10531217,10535627	chr1,10988389,10993371
chr1,10531217,10535627	chr1,10993372,11001907
chr1,10531217,10535627	chr1,11001908,11006427
chr1,10531217,10535627	chr1,11026643,11029788
chr1,10531217,10535627	chr1,11029789,11039442
chr1,10531217,10535627	chr1,11046835,11065146
chr1,10731688,10744380	chr1,10590791,10594115
chr1,10731688,10744380	chr1,11001908,11006427
chr1,10751037,10767516	chr1,10557883,10574840
chr1,10751037,10767516	chr1,10574841,10580991
chr1,10751037,10767516	chr1,10589924,10590790
chr1,10751037,10767516	chr1,10590791,10594115
chr1,10751037,10767516	chr1,10818963,10826102
chr1,10751037,10767516	chr1,10891589,10903844
chr1,10751037,10767516	chr1,10993372,11001907
chr1,107597030,107599359	chr1,107073854,107076686
chr1,10781224,10787574	chr1,10557883,10574840
chr1,10781224,10787574	chr1,10574841,10580991
chr1,10781224,10787574	chr1,10584312,10589923
chr1,10781224,10787574	chr1,10590791,10594115
chr1,10781224,10787574	chr1,10818963,10826102
chr1,10781224,10787574	chr1,10988389,10993371
chr1,10781224,10787574	chr1,10993372,11001907
chr1,10781224,10787574	chr1,11026643,11029788
chr1,10781224,10787574	chr1,11029789,11039442
chr1,10781224,10787574	chr1,11046835,11065146
chr1,10781224,10787574	chr1,230326897,230334457
chr1,108107960,108117229	chr1,106570787,106578437
chr1,108107960,108117229	chr1,107554407,107558323
chr1,10844387,10859919	chr1,10557883,10574840
chr1,10844387,10859919	chr1,10574841,10580991
chr1,10844387,10859919	chr1,10584312,10589923
chr1,10844387,10859919	chr1,10589924,10590790
chr1,10844387,10859919	chr1,10590791,10594115
chr1,10844387,10859919	chr1,10594116,10596796
chr1,10844387,10859919	chr1,10600768,10613544
chr1,10844387,10859919	chr1,10710491,10714753
chr1,10844387,10859919	chr1,10714754,10724654
chr1,10844387,10859919	chr1,10728253,10731687
chr1,10844387,10859919	chr1,10969541,10977347
chr1,10844387,10859919	chr1,11001908,11006427
chr1,10844387,10859919	chr1,25713691,25722257
chr1,108497627,108507082	chr1,108055640,108067355
chr1,108497627,108507082	chr1,108329922,108330313
chr1,108497627,108507082	chr1,108334290,108337110
chr1,108497627,108507082	chr1,108338674,108341872
chr1,108497627,108507082	chr1,108661816,108667862
chr1,108497627,108507082	chr1,108667863,108671085
chr1,108497627,108507082	chr1,93790783,93797198
chr1,108507083,108511712	chr1,108055640,108067355
chr1,108507083,108511712	chr1,108338674,108341872
chr1,108507083,108511712	chr1,108405538,108415847
chr1,108507083,108511712	chr1,108630963,108641537
chr1,108507083,108511712	chr1,108667863,108671085
chr1,108741258,108748408	chr1,108364300,108369281
chr1,108741258,108748408	chr1,108402259,108405537
chr1,109102497,109108895	chr1,109191589,109198703
chr1,10912360,10929312	chr1,10226463,10238190
chr1,10912360,10929312	chr1,10557883,10574840
chr1,10912360,10929312	chr1,10574841,10580991
chr1,10912360,10929312	chr1,10580992,10583123
chr1,10912360,10929312	chr1,10584312,10589923
chr1,10912360,10929312	chr1,10590791,10594115
chr1,10912360,10929312	chr1,10594116,10596796
chr1,10912360,10929312	chr1,10614571,10627344
chr1,10912360,10929312	chr1,10710491,10714753
chr1,10912360,10929312	chr1,10767517,10770898
chr1,10912360,10929312	chr1,10818963,10826102
chr1,10912360,10929312	chr1,10859920,10887330
chr1,109202150,109204779	chr1,109191589,109198703
chr1,109225380,109237643	chr1,211842343,211846186
chr1,109250889,109262257	chr1,109243535,109247201
chr1,109276122,109282928	chr1,101990479,102002659
chr1,109276122,109282928	chr1,109343298,109347388
chr1,109276122,109282928	chr1,109467333,109469979
chr1,109276122,109282928	chr1,84875280,84876475
chr1,109393600,109400548	chr1,108375706,108381858
chr1,109393600,109400548	chr1,109367601,109371683
chr1,109393600,109400548	chr1,109387322,109391516
chr1,109393600,109400548	chr1,160516245,160522335
chr1,109407867,109428951	chr1,109075684,109082456
chr1,109496842,109513130	chr1,109357665,109362752
chr1,109496842,109513130	chr1,109367601,109371683
chr1,10957709,10966373	chr1,10554097,10557882
chr1,10957709,10966373	chr1,10557883,10574840
chr1,10957709,10966373	chr1,10574841,10580991
chr1,10957709,10966373	chr1,10580992,10583123
chr1,10957709,10966373	chr1,10584312,10589923
chr1,10957709,10966373	chr1,10590791,10594115
chr1,10957709,10966373	chr1,10594116,10596796
chr1,10957709,10966373	chr1,10600768,10613544
chr1,10957709,10966373	chr1,10614571,10627344
chr1,10957709,10966373	chr1,10627345,10629923
chr1,10957709,10966373	chr1,10634508,10641697
chr1,10957709,10966373	chr1,10643896,10647564
chr1,10957709,10966373	chr1,10704811,10710490
chr1,10957709,10966373	chr1,10710491,10714753
chr1,10957709,10966373	chr1,10714754,10724654
chr1,109582829,109593398	chr1,109600593,109605512
chr1,109582829,109593398	chr1,110458709,110464934
chr1,109611323,109625093	chr1,109922045,109925663
chr1,109611323,109625093	chr1,109946490,109951004
chr1,109630623,109633960	chr1,109757286,109758895
chr1,109630623,109633960	chr1,109941568,109942650
chr1,109630623,109633960	chr1,109974139,109986545
chr1,109630623,109633960	chr1,110334898,110343179
chr1,109639063,109645857	chr1,109372505,109373639
chr1,109654432,109658005	chr1,109737154,109744049
chr1,109654432,109658005	chr1,109762620,109765263
chr1,109654432,109658005	chr1,109798269,109814279
chr1,109654432,109658005	chr1,109814280,109816568
chr1,109654432,109658005	chr1,109861097,109870306
chr1,109654432,109658005	chr1,109907624,109921149
chr1,109654432,109658005	chr1,109926652,109929573
chr1,109654432,109658005	chr1,109941568,109942650
chr1,109654432,109658005	chr1,109942651,109946489
chr1,109654432,109658005	chr1,109946490,109951004
chr1,109654432,109658005	chr1,110001126,110002460
chr1,109654432,109658005	chr1,110002461,110005987
chr1,109654432,109658005	chr1,110014675,110018698
chr1,109654432,109658005	chr1,113047209,113062069
chr1,109654432,109658005	chr1,93429116,93434013
chr1,1096739,1107115	chr1,1064245,1069045
chr1,1096739,1107115	chr1,1069046,1083958
chr1,1096739,1107115	chr1,1083959,1091234
chr1,1096739,1107115	chr1,1150970,1156235
chr1,109749468,109751343	chr1,109658844,109662236
chr1,109749468,109751343	chr1,109737154,109744049
chr1,109749468,109751343	chr1,109765339,109773146
chr1,109749468,109751343	chr1,109835699,109847347
chr1,109749468,109751343	chr1,109907624,109921149
chr1,109749468,109751343	chr1,109922045,109925663
chr1,109749468,109751343	chr1,110077747,110079711
chr1,109751344,109757285	chr1,109762620,109765263
chr1,109751344,109757285	chr1,109765339,109773146
chr1,109751344,109757285	chr1,109774823,109779039
chr1,109751344,109757285	chr1,109816569,109822235
chr1,109751344,109757285	chr1,109922045,109925663
chr1,109751344,109757285	chr1,109941568,109942650
chr1,109751344,109757285	chr1,109942651,109946489
chr1,109751344,109757285	chr1,109951005,109963722
chr1,109751344,109757285	chr1,94353869,94360129
chr1,109790232,109798268	chr1,109780946,109782794
chr1,109822236,109835489	chr1,109737154,109744049
chr1,109822236,109835489	chr1,109882067,109884587
chr1,109822236,109835489	chr1,109907624,109921149
chr1,109822236,109835489	chr1,109922045,109925663
chr1,109822236,109835489	chr1,109941568,109942650
chr1,109822236,109835489	chr1,109942651,109946489
chr1,109822236,109835489	chr1,109946490,109951004
chr1,109822236,109835489	chr1,109951005,109963722
chr1,109822236,109835489	chr1,110014675,110018698
chr1,109822236,109835489	chr1,110040001,110044834
chr1,109822236,109835489	chr1,110045996,110047947
chr1,109822236,109835489	chr1,110501087,110508851
chr1,109847348,109859674	chr1,109861097,109870306
chr1,109847348,109859674	chr1,109904319,109907623
chr1,109847348,109859674	chr1,109907624,109921149
chr1,109847348,109859674	chr1,109922045,109925663
chr1,109847348,109859674	chr1,109941568,109942650
chr1,109847348,109859674	chr1,109942651,109946489
chr1,109847348,109859674	chr1,109946490,109951004
chr1,109847348,109859674	chr1,109974139,109986545
chr1,109847348,109859674	chr1,95008259,95009434
chr1,109931293,109941567	chr1,109648818,109654431
chr1,109931293,109941567	chr1,109709300,109710943
chr1,109931293,109941567	chr1,109737154,109744049
chr1,109931293,109941567	chr1,109744050,109747267
chr1,109931293,109941567	chr1,109747268,109749467
chr1,109931293,109941567	chr1,109757286,109758895
chr1,109931293,109941567	chr1,109758896,109762619
chr1,109931293,109941567	chr1,109765339,109773146
chr1,109931293,109941567	chr1,109774823,109779039
chr1,109931293,109941567	chr1,109780946,109782794
chr1,109931293,109941567	chr1,109782795,109783315
chr1,109931293,109941567	chr1,109783316,109790231
chr1,109931293,109941567	chr1,109798269,109814279
chr1,109931293,109941567	chr1,109814280,109816568
chr1,109931293,109941567	chr1,109816569,109822235
chr1,109931293,109941567	chr1,109835699,109847347
chr1,109931293,109941567	chr1,109942651,109946489
chr1,109931293,109941567	chr1,110552860,110562846
chr1,109965661,109970694	chr1,109816569,109822235
chr1,110022879,110029212	chr1,109814280,109816568
chr1,110022879,110029212	chr1,109861097,109870306
chr1,110022879,110029212	chr1,109884588,109888449
chr1,110022879,110029212	chr1,110063045,110077746
chr1,110022879,110029212	chr1,110314004,110320343
chr1,110022879,110029212	chr1,110591445,110597116
chr1,110036305,110039664	chr1,109816569,109822235
chr1,110036305,110039664	chr1,110063045,110077746
chr1,110036305,110039664	chr1,110314004,110320343
chr1,110036305,110039664	chr1,110413623,110427649
chr1,110036305,110039664	chr1,110544432,110550201
chr1,110036305,110039664	chr1,110550202,110551938
chr1,110036305,110039664	chr1,110552860,110562846
chr1,110048306,110063044	chr1,109861097,109870306
chr1,110048306,110063044	chr1,110314004,110320343
chr1,110048306,110063044	chr1,110543234,110544431
chr1,110048306,110063044	chr1,110636219,110643853
chr1,110080432,110083450	chr1,110413623,110427649
chr1,110083451,110088718	chr1,109713207,109716969
chr1,110083451,110088718	chr1,109783316,109790231
chr1,110083451,110088718	chr1,110191480,110192520
chr1,110083451,110088718	chr1,110314004,110320343
chr1,110083451,110088718	chr1,110333011,110334897
chr1,110083451,110088718	chr1,110334898,110343179
chr1,110083451,110088718	chr1,110470218,110483285
chr1,110083451,110088718	chr1,110544432,110550201
chr1,110083451,110088718	chr1,110552860,110562846
chr1,110083451,110088718	chr1,110614856,110619730
chr1,110088719,110094876	chr1,110314004,110320343
chr1,110088719,110094876	chr1,110552860,110562846
chr1,110088719,110094876	chr1,110597117,110599259
chr1,110088719,110094876	chr1,113460496,113468862
chr1,110129801,110135644	chr1,110111788,110113559
chr1,110129801,110135644	chr1,110429630,110430923
chr1,110129801,110135644	chr1,110552860,110562846
chr1,110135645,110139725	chr1,110104166,110109703
chr1,110135645,110139725	chr1,110314004,110320343
chr1,110135645,110139725	chr1,110320344,110328475
chr1,110135645,110139725	chr1,110543234,110544431
chr1,110135645,110139725	chr1,110544432,110550201
chr1,110135645,110139725	chr1,110552860,110562846
chr1,110135645,110139725	chr1,110583994,110585293
chr1,110135645,110139725	chr1,144990022,144993387
chr1,110135645,110139725	chr1,144999084,145000514
chr1,110139726,110149332	chr1,110314004,110320343
chr1,110139726,110149332	chr1,110552860,110562846
chr1,110139726,110149332	chr1,110563271,110565841
chr1,110149333,110166948	chr1,110314004,110320343
chr1,110149333,110166948	chr1,110454788,110458708
chr1,110149333,110166948	chr1,110501087,110508851
chr1,110149333,110166948	chr1,110543234,110544431
chr1,110149333,110166948	chr1,110544432,110550201
chr1,110149333,110166948	chr1,110552860,110562846
chr1,110149333,110166948	chr1,110597117,110599259
chr1,110166949,110184247	chr1,110308232,110308803
chr1,110166949,110184247	chr1,110308804,110314003
chr1,110166949,110184247	chr1,110314004,110320343
chr1,110166949,110184247	chr1,110320344,110328475
chr1,110166949,110184247	chr1,110328476,110333010
chr1,110166949,110184247	chr1,110333011,110334897
chr1,110166949,110184247	chr1,110334898,110343179
chr1,110166949,110184247	chr1,110464935,110470217
chr1,110166949,110184247	chr1,110489063,110491082
chr1,110166949,110184247	chr1,110521276,110522208
chr1,110166949,110184247	chr1,110552860,110562846
chr1,110166949,110184247	chr1,110597117,110599259
chr1,110196942,110202242	chr1,110314004,110320343
chr1,110196942,110202242	chr1,110544432,110550201
chr1,110196942,110202242	chr1,110552860,110562846
chr1,110269914,110284845	chr1,110030590,110035114
chr1,110269914,110284845	chr1,110040001,110044834
chr1,110269914,110284845	chr1,110314004,110320343
chr1,110269914,110284845	chr1,110334898,110343179
chr1,110269914,110284845	chr1,110458709,110464934
chr1,110269914,110284845	chr1,110501087,110508851
chr1,110269914,110284845	chr1,110508852,110514734
chr1,110269914,110284845	chr1,110514735,110521275
chr1,110269914,110284845	chr1,110544432,110550201
chr1,110269914,110284845	chr1,110552860,110562846
chr1,110269914,110284845	chr1,110565842,110566678
chr1,110305446,110308195	chr1,110184248,110187339
chr1,110305446,110308195	chr1,110458709,110464934
chr1,110305446,110308195	chr1,110544432,110550201
chr1,110305446,110308195	chr1,110550202,110551938
chr1,110305446,110308195	chr1,110552860,110562846
chr1,110305446,110308195	chr1,110583994,110585293
chr1,11039443,11046834	chr1,10557883,10574840
chr1,11039443,11046834	chr1,10580992,10583123
chr1,11039443,11046834	chr1,10584312,10589923
chr1,11039443,11046834	chr1,10590791,10594115
chr1,11039443,11046834	chr1,10594116,10596796
chr1,11039443,11046834	chr1,10818963,10826102
chr1,11039443,11046834	chr1,227956646,227960353
chr1,11039443,11046834	chr1,228974696,228977469
chr1,110427650,110429629	chr1,110113659,110121932
chr1,110427650,110429629	chr1,110184248,110187339
chr1,110427650,110429629	chr1,110308804,110314003
chr1,110427650,110429629	chr1,110314004,110320343
chr1,110427650,110429629	chr1,110320344,110328475
chr1,110427650,110429629	chr1,110333011,110334897
chr1,110427650,110429629	chr1,110334898,110343179
chr1,110427650,110429629	chr1,110500615,110501086
chr1,110427650,110429629	chr1,110508852,110514734
chr1,110427650,110429629	chr1,110552860,110562846
chr1,110427650,110429629	chr1,145038614,145040559
chr1,110444689,110454787	chr1,110260232,110268073
chr1,110444689,110454787	chr1,110293095,110305445
chr1,110444689,110454787	chr1,110314004,110320343
chr1,110444689,110454787	chr1,110320344,110328475
chr1,110444689,110454787	chr1,110328476,110333010
chr1,110444689,110454787	chr1,110333011,110334897
chr1,110444689,110454787	chr1,110334898,110343179
chr1,110444689,110454787	chr1,110353034,110376789
chr1,110444689,110454787	chr1,110413623,110427649
chr1,110444689,110454787	chr1,110501087,110508851
chr1,110444689,110454787	chr1,110544432,110550201
chr1,110444689,110454787	chr1,110552860,110562846
chr1,110444689,110454787	chr1,110591445,110597116
chr1,110522706,110534653	chr1,110121933,110123708
chr1,110522706,110534653	chr1,110184248,110187339
chr1,110522706,110534653	chr1,110237750,110248066
chr1,110522706,110534653	chr1,110260232,110268073
chr1,110522706,110534653	chr1,110293095,110305445
chr1,110522706,110534653	chr1,110308232,110308803
chr1,110522706,110534653	chr1,110314004,110320343
chr1,110522706,110534653	chr1,110320344,110328475
chr1,110522706,110534653	chr1,110333011,110334897
chr1,110522706,110534653	chr1,110334898,110343179
chr1,110522706,110534653	chr1,110413623,110427649
chr1,110571690,110578448	chr1,109986546,109987824
chr1,110571690,110578448	chr1,110014675,110018698
chr1,110571690,110578448	chr1,110094877,110096271
chr1,110571690,110578448	chr1,110248067,110250994
chr1,110571690,110578448	chr1,110314004,110320343
chr1,110571690,110578448	chr1,110552860,110562846
chr1,110571690,110578448	chr1,110591445,110597116
chr1,110599260,110605722	chr1,110123709,110128589
chr1,110599260,110605722	chr1,110314004,110320343
chr1,110599260,110605722	chr1,110320344,110328475
chr1,110599260,110605722	chr1,110334898,110343179
chr1,110599260,110605722	chr1,110591445,110597116
chr1,110599260,110605722	chr1,110977682,110981347
chr1,110599260,110605722	chr1,144985198,144990021
chr1,110609864,110614855	chr1,110314004,110320343
chr1,110609864,110614855	chr1,110334898,110343179
chr1,110609864,110614855	chr1,110636219,110643853
chr1,110609864,110614855	chr1,110966223,110972610
chr1,110609864,110614855	chr1,111033214,111037613
chr1,110609864,110614855	chr1,145065047,145065968
chr1,110609864,110614855	chr1,40095760,40096493
chr1,110624076,110630989	chr1,110314004,110320343
chr1,110624076,110630989	chr1,110552860,110562846
chr1,110624076,110630989	chr1,110614856,110619730
chr1,110624076,110630989	chr1,111011453,111015781
chr1,110624076,110630989	chr1,95216469,95225125
chr1,110651169,110659426	chr1,111028685,111032568
chr1,11065147,11085725	chr1,10614571,10627344
chr1,110691886,110696414	chr1,111011453,111015781
chr1,110691886,110696414	chr1,111033214,111037613
chr1,1107116,1109732	chr1,1064245,1069045
chr1,1107116,1109732	chr1,1069046,1083958
chr1,1107116,1109732	chr1,1092013,1096738
chr1,1107116,1109732	chr1,1150970,1156235
chr1,1107116,1109732	chr1,1220555,1239425
chr1,1107116,1109732	chr1,876092,889423
chr1,110711982,110716780	chr1,110544432,110550201
chr1,110716781,110730834	chr1,111011453,111015781
chr1,110750306,110770944	chr1,110821431,110826016
chr1,110750306,110770944	chr1,110847165,110849908
chr1,110750306,110770944	chr1,110849909,110853034
chr1,110750306,110770944	chr1,110853035,110858959
chr1,110750306,110770944	chr1,110858960,110871716
chr1,110750306,110770944	chr1,110871717,110877270
chr1,110750306,110770944	chr1,110963133,110964381
chr1,110750306,110770944	chr1,110966223,110972610
chr1,110750306,110770944	chr1,110972999,110976152
chr1,110750306,110770944	chr1,110995535,111011452
chr1,110750306,110770944	chr1,111011453,111015781
chr1,110750306,110770944	chr1,111019135,111020966
chr1,110750306,110770944	chr1,111033214,111037613
chr1,110750306,110770944	chr1,111037614,111042780
chr1,110750306,110770944	chr1,111042781,111048915
chr1,110750306,110770944	chr1,111055919,111057626
chr1,110814227,110815705	chr1,110744908,110750305
chr1,110814227,110815705	chr1,111033214,111037613
chr1,11085726,11113120	chr1,11280717,11285313
chr1,110877271,110891157	chr1,110614856,110619730
chr1,110877271,110891157	chr1,110734006,110744892
chr1,110877271,110891157	chr1,110744908,110750305
chr1,110877271,110891157	chr1,110892055,110896381
chr1,110877271,110891157	chr1,145003521,145006592
chr1,110929032,110936018	chr1,110636219,110643853
chr1,110929032,110936018	chr1,110744908,110750305
chr1,110929032,110936018	chr1,110785133,110788383
chr1,110929032,110936018	chr1,111037614,111042780
chr1,110929032,110936018	chr1,57695226,57698912
chr1,1109733,1122642	chr1,1062660,1064244
chr1,1109733,1122642	chr1,1083959,1091234
chr1,1109733,1122642	chr1,1092013,1096738
chr1,1109733,1122642	chr1,1150970,1156235
chr1,110983086,110994350	chr1,110597117,110599259
chr1,110983086,110994350	chr1,110734006,110744892
chr1,110983086,110994350	chr1,110744908,110750305
chr1,111061213,111066221	chr1,111144545,111156675
chr1,111061213,111066221	chr1,111156676,111159299
chr1,111061213,111066221	chr1,111159673,111162471
chr1,111061213,111066221	chr1,111162472,111169852
chr1,111061213,111066221	chr1,111313055,111315402
chr1,111171739,111176704	chr1,111292996,111300791
chr1,111171739,111176704	chr1,111319051,111329821
chr1,111171739,111176704	chr1,111329822,111330385
chr1,111171739,111176704	chr1,111331209,111340440
chr1,111214898,111219608	chr1,145077349,145079961
chr1,111415628,111420122	chr1,111648181,111652898
chr1,111415628,111420122	chr1,93784402,93788217
chr1,11158746,11163451	chr1,11287969,11300927
chr1,11158746,11163451	chr1,11343921,11350656
chr1,11158746,11163451	chr1,11727776,11735111
chr1,111678854,111684197	chr1,111961769,111962976
chr1,111742392,111746618	chr1,111873096,111875933
chr1,111742392,111746618	chr1,111923724,111928514
chr1,111742392,111746618	chr1,111946741,111955897
chr1,111742392,111746618	chr1,112004098,112007837
chr1,111746619,111749211	chr1,111907154,111910209
chr1,111746619,111749211	chr1,111923724,111928514
chr1,111862781,111869701	chr1,111729179,111731373
chr1,111862781,111869701	chr1,111751489,111755335
chr1,111887921,111890552	chr1,111731374,111741474
chr1,111887921,111890552	chr1,111741924,111742391
chr1,111887921,111890552	chr1,111751489,111755335
chr1,111887921,111890552	chr1,111757883,111760071
chr1,111887921,111890552	chr1,111762060,111763420
chr1,111887921,111890552	chr1,111763421,111766246
chr1,111887921,111890552	chr1,111766247,111768202
chr1,111887921,111890552	chr1,111946741,111955897
chr1,111887921,111890552	chr1,111976727,111979601
chr1,11192293,11204078	chr1,11287969,11300927
chr1,11192293,11204078	chr1,11654459,11668022
chr1,11192293,11204078	chr1,11687334,11697082
chr1,111967573,111974618	chr1,111763421,111766246
chr1,111967573,111974618	chr1,111766247,111768202
chr1,112014292,112018606	chr1,112205343,112207452
chr1,112014292,112018606	chr1,112232781,112234691
chr1,112014292,112018606	chr1,112239281,112241404
chr1,112014292,112018606	chr1,112303174,112303717
chr1,112014292,112018606	chr1,112340877,112345133
chr1,112014292,112018606	chr1,112855257,112865147
chr1,112014292,112018606	chr1,70688833,70692743
chr1,112031611,112033064	chr1,112205343,112207452
chr1,112031611,112033064	chr1,112236932,112239280
chr1,112084705,112088359	chr1,112570355,112575702
chr1,112101231,112106609	chr1,112466107,112467137
chr1,112101231,112106609	chr1,113206965,113210685
chr1,11210175,11212490	chr1,11287969,11300927
chr1,11210175,11212490	chr1,11573691,11580586
chr1,112188890,112205342	chr1,112083842,112084704
chr1,11228704,11246524	chr1,11553932,11559067
chr1,112294296,112300306	chr1,112018607,112019664
chr1,112294296,112300306	chr1,112047631,112061273
chr1,112294296,112300306	chr1,145043515,145045900
chr1,112449471,112459112	chr1,112711449,112724192
chr1,112449471,112459112	chr1,112797258,112806481
chr1,112449471,112459112	chr1,112895632,112896290
chr1,112449471,112459112	chr1,113062070,113065551
chr1,112449471,112459112	chr1,113272192,113273370
chr1,11248311,11249465	chr1,11645737,11654458
chr1,112529962,112535367	chr1,112047631,112061273
chr1,112529962,112535367	chr1,112284661,112294295
chr1,112529962,112535367	chr1,112330942,112333183
chr1,112529962,112535367	chr1,112336788,112340876
chr1,112529962,112535367	chr1,112340877,112345133
chr1,112529962,112535367	chr1,112351712,112359013
chr1,112529962,112535367	chr1,112391364,112398210
chr1,112529962,112535367	chr1,112403476,112410318
chr1,112529962,112535367	chr1,112806482,112818901
chr1,112529962,112535367	chr1,112841316,112848327
chr1,112529962,112535367	chr1,112887844,112895278
chr1,112737239,112744138	chr1,112438539,112441122
chr1,112737239,112744138	chr1,112488591,112492398
chr1,11285314,11287968	chr1,11727776,11735111
chr1,112912343,112923372	chr1,112022256,112031610
chr1,112912343,112923372	chr1,112841316,112848327
chr1,112933412,112943864	chr1,113047209,113062069
chr1,112933412,112943864	chr1,113153838,113155921
chr1,112933412,112943864	chr1,113155922,113161258
chr1,112933412,112943864	chr1,113342178,113350312
chr1,113005482,113010005	chr1,113047209,113062069
chr1,113005482,113010005	chr1,113168348,113170963
chr1,113005482,113010005	chr1,113342178,113350312
chr1,113161259,113162086	chr1,112079472,112083841
chr1,113161259,113162086	chr1,113010340,113020215
chr1,113162604,113168347	chr1,112943865,112950344
chr1,113162604,113168347	chr1,113010340,113020215
chr1,113177020,113192276	chr1,113564251,113569685
chr1,113195118,113195493	chr1,112875419,112885417
chr1,113195118,113195493	chr1,113192277,113193520
chr1,113195118,113195493	chr1,113201095,113204290
chr1,113210686,113231964	chr1,112943865,112950344
chr1,113210686,113231964	chr1,112955883,112960158
chr1,113210686,113231964	chr1,113541450,113542926
chr1,11321726,11322699	chr1,11683840,11687333
chr1,113236614,113241483	chr1,112711449,112724192
chr1,113236614,113241483	chr1,112943865,112950344
chr1,113236614,113241483	chr1,113585316,113597133
chr1,113246774,113258924	chr1,112943865,112950344
chr1,113246774,113258924	chr1,113342178,113350312
chr1,113246774,113258924	chr1,113448895,113456853
chr1,113246774,113258924	chr1,113518869,113526023
chr1,113246774,113258924	chr1,113570273,113573302
