PIR	SIZE	RNA_OVERLAP	promoter_genes	TPMs	ENCODE_merged
10_101605880_101608480	2600	noRNA	DNMBP;ERLIN1;CWF19L1;RNU6-422P	12.637698;30.28397;25.069754;NA	0
10_101609647_101610902	1255	noRNA	CPN1	0	0
10_101610903_101614494	3591	noRNA	ERLIN1	30.28397	0
10_101614495_101616529	2034	RNA	RP11-316M21.7	NA	1
10_101616530_101619042	2512	noRNA	DNMBP	12.637698	0
10_101619043_101625816	6773	RNA	C10orf62;HOGA1;PI4K2A	0.0285531;0.4941181;18.1452	1
10_101663001_101669568	6567	RNA	DNMBP;CPN1;ERLIN1;RP11-316M21.7;CWF19L1;RNU6-422P	12.637698;0;30.28397;NA;25.069754;NA	0
10_101671277_101672969	1692	noRNA	DNMBP	12.637698	0
10_101676560_101682558	5998	RNA	DNMBP	12.637698	0
10_101682559_101684478	1919	noRNA	SNORA12	NA	0
10_101705279_101712965	7686	noRNA	DNMBP-AS1;DNMBP;RP11-316M21.7	NA;12.637698;NA	0
10_101731971_101736804	4833	noRNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_101739304_101743777	4473	RNA	DNMBP	12.637698	0
10_101743778_101755205	11427	noRNA	DNMBP-AS1;DNMBP;ERLIN1	NA;12.637698;30.28397	0
10_101794859_101805578	10719	RNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_101824737_101835890	11153	noRNA	ABCC2;NANOGP6;DNMBP-AS1;DNMBP	0.63777;0;NA;12.637698	1
10_101868962_101874013	5051	RNA	ABCC2;NANOGP6	0.63777;0	1
10_101908911_101914993	6082	RNA	MMS19;UBTD1	83.477881;16.4766	0
10_101934306_101938562	4256	RNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_101950379_101957161	6782	RNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_101957162_101959570	2408	noRNA	C10orf62;HOGA1;PI4K2A	0.0285531;0.4941181;18.1452	0
10_101960282_101963462	3180	noRNA	ABCC2;NANOGP6	0.63777;0	0
10_101992937_101995465	2528	RNA	ABCC2;NANOGP6	0.63777;0	0
10_102046981_102056345	9364	RNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_102058028_102066140	8112	RNA	ABCC2;NANOGP6	0.63777;0	1
10_102114004_102119623	5619	noRNA	RP11-34D15.2;SCD;HIF1AN;NDUFB8;SEC31B	NA;296.551;22.84792;167.629399;1.9935566	0
10_102133241_102140061	6820	RNA	RP11-34D15.2;SCD;HIF1AN;NDUFB8;SEC31B;MIR608;SEMA4G	NA;296.551;22.84792;167.629399;1.9935566;NA;6.350142421	0
10_102191202_102194123	2921	noRNA	DNMBP-AS1;DNMBP;CWF19L1;RNU6-422P	NA;12.637698;25.069754;NA	1
10_102198464_102205411	6947	noRNA	HIF1AN;NDUFB8;SEC31B	22.84792;167.629399;1.9935566	0
10_102205412_102208981	3569	noRNA	BLOC1S2;CWF19L1	62.130018;25.069754	0
10_102223924_102234007	10083	RNA	ERLIN1	30.28397	0
10_102267480_102278463	10983	RNA	BLOC1S2;CWF19L1;RP11-34D15.2;SCD	62.130018;25.069754;NA;296.551	1
10_102278464_102280876	2412	RNA	BLOC1S2;CWF19L1;RP11-34D15.2;SCD	62.130018;25.069754;NA;296.551	1
10_102296431_102304529	8098	RNA	FAM178A;RP11-179B2.2;MIR608;SEMA4G	NA;NA;NA;6.350142421	0
10_102313620_102315596	1976	noRNA	SEMA4G	6.350142421	0
10_102319131_102320769	1638	noRNA	PAX2	0	0
10_102320892_102333955	13063	RNA	PAX2;SEMA4G;MIR608;SEMA4G;RP11-31L23.3;TLX1;TLX1NB	0;6.350142421;NA;6.350142421;NA;0;0	1
10_102350257_102358339	8082	noRNA	SEMA4G	6.350142421	0
10_102378974_102381843	2869	noRNA	MMS19;UBTD1	83.477881;16.4766	0
10_102422871_102435985	13114	RNA	RP11-31L23.3;TLX1;TLX1NB	NA;0;0	1
10_102471843_102476181	4338	RNA	TLX1	0	0
10_102476182_102480489	4307	noRNA	NKX2-3;TLX1	0.0161587;0	0
10_102480490_102485013	4523	noRNA	TLX1	0	1
10_102485014_102489127	4113	noRNA	PDZD7;SFXN3;TLX1;RP11-31L23.3;TLX1;TLX1NB	1.6107158;2.9587046;0;NA;0;0	1
10_102489128_102492884	3756	RNA	TLX1;RP11-31L23.3;TLX1;TLX1NB	0;NA;0;0	1
10_102503697_102504030	333	noRNA	RP11-31L23.3;TLX1;TLX1NB	NA;0;0	0
10_102504031_102514581	10550	RNA	RP11-129J12.2;NKX2-3;NA;NA;TLX1;RP11-31L23.3;TLX1;TLX1NB;LBX1-AS1;LBX1	NA;0.0161587;NA;NA;0;NA;0;0;NA;0	0
10_102536534_102538238	1704	noRNA	PPRC1	51.05688	0
10_102571411_102576145	4734	RNA	NA	NA	1
10_102581172_102584706	3534	noRNA	HIF1AN;NDUFB8;SEC31B	22.84792;167.629399;1.9935566	1
10_102587397_102591735	4338	noRNA	RP11-31L23.3;TLX1;TLX1NB	NA;0;0	1
10_102622273_102625746	3473	noRNA	HIF1AN;NDUFB8;SEC31B;NA	22.84792;167.629399;1.9935566;NA	0
10_102631675_102634931	3256	noRNA	PAX2	0	1
10_102636417_102638615	2198	noRNA	RP11-85A1.3;NA;NA	NA;NA;NA	1
10_102639534_102641465	1931	noRNA	NA	NA	1
10_102641466_102643961	2495	RNA	NA	NA	0
10_102646645_102650301	3656	noRNA	NA;NA;NA;PAX2	NA;NA;NA;0	1
10_102650302_102655179	4877	RNA	NA;NA	NA;NA	0
10_102676481_102688102	11621	noRNA	PKD2L1	0	0
10_102688103_102690890	2787	noRNA	HIF1AN;NDUFB8;SEC31B	22.84792;167.629399;1.9935566	0
10_102724001_102727183	3182	noRNA	HIF1AN;NDUFB8;SEC31B	22.84792;167.629399;1.9935566	0
10_102742690_102745842	3152	noRNA	NA	NA	0
10_102832015_102842553	10538	RNA	NA;RP11-31L23.3;TLX1;TLX1NB	NA;NA;0;0	1
10_102842554_102856764	14210	RNA	PAX2;NPM3	0;332.9536	1
10_102889513_102889920	407	noRNA	PAX2	0	0
10_102906879_102909190	2311	noRNA	RP11-129J12.2;DPCD	NA;36.4451900031107	0
10_102920577_102923659	3082	noRNA	NA;DPCD	NA;36.4451900031107	1
10_102926027_102934224	8197	noRNA	NA;DPCD;FGF8	NA;36.4451900031107;36.0838	0
10_102948998_102955046	6048	RNA	NA	NA	0
10_102955047_102961899	6852	RNA	NA	NA	0
10_102994176_102997964	3788	RNA	NA;PAX2;KAZALD1;RP11-108L7.15;RP11-31L23.3;TLX1;TLX1NB;NA;DPCD;FBXW4	NA;0;0.28842514;NA;NA;0;0;NA;36.4451900031107;21.300419	1
10_102997965_103002561	4596	RNA	FGF8	36.0838	1
10_103002562_103027231	24669	RNA	DPCD;DPCD;POLL;FGF8	36.4451900031107;36.4451900031107;27.497863101;36.0838	1
10_103038525_103041489	2964	RNA	DPCD	36.4451900031107	0
10_103041490_103047189	5699	RNA	NA;RP11-31L23.3;TLX1;TLX1NB;DPCD	NA;NA;0;0;36.4451900031107	0
10_103047190_103048208	1018	noRNA	RP11-31L23.3;TLX1;TLX1NB	NA;0;0	1
10_103068834_103081055	12221	RNA	NA;DPCD;POLL;FGF8	NA;36.4451900031107;27.497863101;36.0838	0
10_103081056_103089953	8897	RNA	NA;DPCD	NA;36.4451900031107	1
10_103117557_103123485	5928	noRNA	KCNIP2-AS1;MGEA5	NA;79.896023	0
10_103179217_103183088	3871	noRNA	SNORD112;RNU2-59P	NA;NA	0
10_103184697_103187754	3057	noRNA	RNU2-43P;snoU13	NA;NA	0
10_103187755_103193395	5640	noRNA	NA	NA	0
10_103193396_103198958	5562	noRNA	RNU2-43P	NA	0
10_103198959_103210751	11792	noRNA	NA;RNU2-43P	NA;NA	1
10_103216306_103219928	3622	noRNA	RNU2-43P	NA	0
10_103221719_103223699	1980	noRNA	LBX1-AS1;LBX1	NA;0	0
10_103226331_103238152	11821	noRNA	NA;RNU2-43P	NA;NA	1
10_103238153_103242522	4369	noRNA	NA	NA	0
10_103285893_103288629	2736	noRNA	NA	NA	0
10_103306371_103314715	8344	RNA	RNU2-43P	NA	0
10_103316863_103322119	5256	noRNA	RP11-31L23.3;TLX1;TLX1NB;SNORD112;NA;RNU2-59P	NA;0;0;NA;NA;NA	0
10_103322120_103323633	1513	noRNA	NA	NA	0
10_103336484_103343577	7093	RNA	RP11-31L23.3;TLX1;TLX1NB;SNORD112;NA;FBXW4;FGF8;NPM3	NA;0;0;NA;NA;21.300419;36.0838;332.9536	0
10_103343578_103346849	3271	noRNA	FGF8;NPM3	36.0838;332.9536	0
10_103354218_103358061	3843	noRNA	NA;FBXW4;FGF8;NPM3;NA	NA;21.300419;36.0838;332.9536;NA	0
10_103358062_103369532	11470	RNA	NA;FBXW4;FGF8;NPM3;KCNIP2-AS1;MGEA5;C10orf76;HPS6	NA;21.300419;36.0838;332.9536;NA;79.896023;11.4779070591815;10.0807	1
10_103369533_103370434	901	noRNA	FGF8	36.0838	0
10_103370435_103377255	6820	RNA	FBXW4;FGF8;NPM3;NA;KCNIP2-AS1;MGEA5	21.300419;36.0838;332.9536;NA;NA;79.896023	1
10_103377256_103380191	2935	RNA	FGF8	36.0838	1
10_103384448_103387537	3089	noRNA	NPM3	332.9536	0
10_103387538_103390865	3327	noRNA	RNU6-1165P;FBXW4;FGF8;NPM3	NA;21.300419;36.0838;332.9536	0
10_103390975_103401527	10552	RNA	FBXW4;FGF8	21.300419;36.0838	0
10_103401528_103404397	2869	noRNA	FGF8	36.0838	1
10_103417762_103428359	10597	RNA	FGF8	36.0838	1
10_103495543_103513484	17941	noRNA	BTRC;DPCD;POLL;FBXW4	16.688714;36.4451900031107;27.497863101;21.300419	1
10_103518003_103526078	8075	RNA	DPCD;POLL;RNU6-1165P	36.4451900031107;27.497863101;NA	0
10_103526079_103533314	7235	RNA	RP11-31L23.3;TLX1;TLX1NB;NA;NA;DPCD;POLL;RNU6-1165P	NA;0;0;NA;NA;36.4451900031107;27.497863101;NA	1
10_103543466_103545012	1546	noRNA	NA;DPCD;POLL;RNU6-1165P;NA	NA;36.4451900031107;27.497863101;NA;NA	0
10_103547667_103555639	7972	RNA	RNU6-1165P	NA	0
10_103555640_103557384	1744	noRNA	DPCD;POLL	36.4451900031107;27.497863101	0
10_103557948_103565830	7882	RNA	RNU6-1165P	NA	0
10_103573412_103578279	4867	noRNA	DPCD;DPCD;POLL;RNU6-1165P;ELOVL3	36.4451900031107;36.4451900031107;27.497863101;NA;0.0250326	0
10_103640119_103641985	1866	noRNA	C10orf76;HPS6	11.4779070591815;10.0807	0
10_103683318_103686885	3567	noRNA	SNORD112	NA	0
10_103698140_103709261	11121	noRNA	KCNIP2	2.291468	0
10_103766094_103773410	7316	RNA	RNU6-1165P;KCNIP2-AS1;MGEA5;KCNIP2	NA;NA;79.896023;2.291468	1
10_103774185_103774772	587	noRNA	KCNIP2	2.291468	0
10_103779883_103786614	6731	noRNA	KCNIP2	2.291468	0
10_103789054_103797821	8767	noRNA	KCNIP2	2.291468	0
10_103797822_103803387	5565	noRNA	KCNIP2	2.291468	0
10_103833354_103840917	7563	noRNA	KCNIP2	2.291468	0
10_103869999_103878792	8793	noRNA	KCNIP2-AS1;MGEA5;KCNIP2;NFKB2;TMEM180	NA;79.896023;2.291468;10.624028;NA	1
10_103898927_103907218	8291	noRNA	KCNIP2-AS1;MGEA5;FBXL15;PSD;CUEDC2;PSD	NA;79.896023;9.3410229131;2.0242397;42.225824;2.0242397	0
10_103907219_103908698	1479	RNA	PPRC1	51.05688	0
10_103919573_103920352	779	noRNA	NOLC1;NFKB2	207.0253;10.624028	0
10_103920353_103921381	1028	noRNA	NFKB2;FBXL15;PSD	10.624028;9.3410229131;2.0242397	0
10_103927798_103929406	1608	noRNA	NA;ELOVL3;NFKB2;FBXL15;PSD;ACTR1A	NA;0.0250326;10.624028;9.3410229131;2.0242397;100.02512	1
10_103929407_103935602	6195	RNA	NFKB2;RNU6-43P;SUFU	10.624028;NA;7.687271	1
10_103947307_103951645	4338	noRNA	FBXL15;PSD	9.3410229131;2.0242397	0
10_103951646_103959371	7725	noRNA	CUEDC2;MIR146B	42.225824;NA	0
10_103986858_103987576	718	noRNA	NFKB2	10.624028	0
10_103988665_103997527	8862	RNA	NFKB2;FBXL15;PSD;CUEDC2;PSD;CUEDC2;MIR146B;TMEM180;RNU6-43P;SUFU	10.624028;9.3410229131;2.0242397;42.225824;2.0242397;42.225824;NA;NA;NA;7.687271	1
10_10400419_10401977	1558	noRNA	RP3-323N1.2	NA	0
10_104007516_104022123	14607	RNA	SUFU	7.687271	0
10_104063897_104069265	5368	RNA	TMEM180	NA	0
10_104069310_104072919	3609	noRNA	NOLC1;NA;GBF1;PITX3	207.0253;NA;19.010319;0.147957	0
10_104083466_104087769	4303	noRNA	ELOVL3	0.0250326	0
10_104093707_104100778	7071	noRNA	NA	NA	0
10_104100779_104102290	1511	noRNA	ELOVL3;GBF1;PITX3	0.0250326;19.010319;0.147957	0
10_104102291_104109412	7121	RNA	ELOVL3;GBF1;PITX3	0.0250326;19.010319;0.147957	1
10_104109413_104110284	871	noRNA	ELOVL3	0.0250326	0
10_104111476_104115161	3685	noRNA	NOLC1;NA;ELOVL3;GBF1;PITX3	207.0253;NA;0.0250326;19.010319;0.147957	1
10_104115375_104118580	3205	noRNA	ELOVL3;GBF1;PITX3	0.0250326;19.010319;0.147957	0
10_104118581_104119432	851	noRNA	NOLC1	207.0253	0
10_104121488_104126970	5482	noRNA	NOLC1;NA;ELOVL3;GBF1;PITX3	207.0253;NA;0.0250326;19.010319;0.147957	0
10_104126971_104128344	1373	RNA	ELOVL3;GBF1;PITX3	0.0250326;19.010319;0.147957	0
10_104128345_104130341	1996	noRNA	NA;GBF1;PITX3	NA;19.010319;0.147957	0
10_104130342_104131322	980	noRNA	NOLC1;NA;ELOVL3	207.0253;NA;0.0250326	0
10_104131323_104133555	2232	RNA	NA;GBF1;PITX3	NA;19.010319;0.147957	0
10_104133556_104143899	10343	RNA	NOLC1;NA;ELOVL3;GBF1;PITX3;FBXL15;PSD;SUFU;RNU6-43P;SUFU	207.0253;NA;0.0250326;19.010319;0.147957;9.3410229131;2.0242397;7.687271;NA;7.687271	1
10_104143900_104144693	793	noRNA	PPRC1;NA;ELOVL3	51.05688;NA;0.0250326	1
10_104145243_104152442	7199	noRNA	LDB1;NA;ELOVL3;GBF1;PITX3;FBXL15;PSD;SUFU;RNU6-43P;SUFU	52.731;NA;0.0250326;19.010319;0.147957;9.3410229131;2.0242397;7.687271;NA;7.687271	0
10_104157949_104170138	12189	RNA	LDB1;NA;ELOVL3;GBF1;PITX3;TMEM180;RNU6-43P;SUFU	52.731;NA;0.0250326;19.010319;0.147957;NA;NA;7.687271	1
10_104223732_104226762	3030	noRNA	GBF1;PITX3	19.010319;0.147957	0
10_104227274_104232358	5084	RNA	NA	NA	0
10_104232359_104239756	7397	noRNA	GBF1;PITX3;CUEDC2;PSD;RNU6-43P;SUFU	19.010319;0.147957;42.225824;2.0242397;NA;7.687271	1
10_104258691_104261099	2408	noRNA	GBF1;PITX3;CUEDC2;PSD	19.010319;0.147957;42.225824;2.0242397	0
10_104275785_104280675	4890	RNA	NA	NA	0
10_104280676_104283284	2608	RNA	RNU6-43P;SUFU	NA;7.687271	0
10_104283285_104288604	5319	noRNA	ELOVL3;RP11-47A8.5;TRIM8	0.0250326;NA;17.603802	0
10_104288818_104321421	32603	RNA	SUFU	7.687271	1
10_104333660_104337069	3409	noRNA	FBXL15;PSD	9.3410229131;2.0242397	0
10_104337070_104338741	1671	noRNA	NFKB2	10.624028	0
10_104338742_104341891	3149	RNA	CUEDC2;PSD	42.225824;2.0242397	0
10_104356042_104358564	2522	RNA	NA;TMEM180;SUFU	NA;NA;7.687271	1
10_104358565_104362214	3649	RNA	NA;FBXL15;PSD;CUEDC2;PSD;CUEDC2;MIR146B;TMEM180;SUFU;RNU6-43P;SUFU	NA;9.3410229131;2.0242397;42.225824;2.0242397;42.225824;NA;NA;7.687271;NA;7.687271	0
10_104362215_104365614	3399	RNA	ELOVL3	0.0250326	1
10_104365615_104380389	14774	RNA	SUFU	7.687271	1
10_104382851_104387003	4152	noRNA	CUEDC2;PSD	42.225824;2.0242397	0
10_104387004_104391946	4942	RNA	NFKB2;SUFU	10.624028;7.687271	0
10_104429014_104438984	9970	RNA	ELOVL3;FBXL15;PSD;CUEDC2;MIR146B;RNU11-3P	0.0250326;9.3410229131;2.0242397;42.225824;NA;NA	1
10_104451804_104461295	9491	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104461296_104473117	11821	noRNA	INA	11.4817	0
10_104476190_104480417	4227	noRNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P	0.147001;0.291998;0.215719;16.60583;NA	0
10_104480418_104481917	1499	noRNA	RNU11-3P	NA	0
10_104481918_104489961	8043	RNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P	0.147001;0.291998;0.215719;16.60583;NA	1
10_104492408_104497886	5478	noRNA	CNNM2;RP11-724N1.1;INA;RNU11-3P	6.097645;NA;11.4817;NA	0
10_104497887_104501231	3344	noRNA	CNNM2;RP11-724N1.1;RNU11-3P	6.097645;NA;NA	0
10_104508747_104512148	3401	noRNA	CYP17A1;PFN1P11;PTGES3P4	0.147001;0.291998;0.215719	0
10_104512149_104523123	10974	RNA	C10orf32-ASMT;C10orf32;AS3MT;RNU6-372P;RNU11-3P;TAF5;AL355490.1;PGAM1;Y_RNA	NA;NA;16.60583;NA;NA;11.0207;NA;1052.522839;NA	1
10_104552690_104562109	9419	RNA	RNU11-3P	NA	0
10_104566461_104571798	5337	RNA	CYP17A1;PFN1P11;PTGES3P4;INA;RNU11-3P	0.147001;0.291998;0.215719;11.4817;NA	0
10_104571799_104575204	3405	RNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104575205_104587719	12514	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104590164_104591176	1012	noRNA	INA	11.4817	0
10_104632456_104634195	1739	noRNA	RNU11-3P	NA	0
10_104634196_104634880	684	noRNA	INA	11.4817	0
10_104634881_104647960	13079	RNA	PCGF6	22.348249463	0
10_104656114_104660131	4017	noRNA	CYP17A1;PFN1P11;PTGES3P4	0.147001;0.291998;0.215719	0
10_104670654_104673555	2901	noRNA	INA;RNU11-3P	11.4817;NA	0
10_104680673_104685819	5146	noRNA	CYP17A1;PFN1P11;PTGES3P4;RNU11-3P	0.147001;0.291998;0.215719;NA	0
10_104689274_104706402	17128	noRNA	INA;RNU11-3P	11.4817;NA	0
10_104706403_104709651	3248	noRNA	INA	11.4817	0
10_104709652_104712819	3167	noRNA	RNU11-3P	NA	0
10_104725620_104732103	6483	RNA	INA	11.4817	0
10_104753493_104757066	3573	noRNA	CYP17A1;PFN1P11;PTGES3P4;RNU11-3P	0.147001;0.291998;0.215719;NA	0
10_104806132_104818011	11879	noRNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA	1
10_104818012_104819606	1594	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104819607_104822112	2505	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104822113_104823787	1674	noRNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA	1
10_104823788_104828256	4468	noRNA	ARL3;SFXN2;CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	11.4583;21.3317814;0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA	0
10_104828257_104831069	2812	noRNA	ARL3;SFXN2;RNU6-1231P;CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1;INA;RNU11-3P;NEURL1	11.4583;21.3317814;NA;0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA;11.4817;NA;0.6275675	1
10_104831070_104841465	10395	noRNA	ARL3;SFXN2;RNU6-1231P;CYP17A1-AS1;CYP17A1;CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1;INA;RNU11-3P	11.4583;21.3317814;NA;NA;0.147001;0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA;11.4817;NA	1
10_104841466_104842361	895	RNA	CYP17A1;PFN1P11;PTGES3P4;INA;RNU11-3P	0.147001;0.291998;0.215719;11.4817;NA	0
10_104842362_104844454	2092	noRNA	CYP17A1-AS1;CYP17A1;CYP17A1;PFN1P11;PTGES3P4;C10orf32-ASMT;C10orf32;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	NA;0.147001;0.147001;0.291998;0.215719;NA;NA;16.60583;NA;6.097645;NA	0
10_104844455_104845670	1215	noRNA	CNNM2;RP11-724N1.1;RNU11-3P;PCGF6	6.097645;NA;NA;22.348249463	0
10_104845671_104853671	8000	RNA	AS3MT;RNU6-372P;RNU11-3P	16.60583;NA;NA	1
10_104855809_104858109	2300	noRNA	INA	11.4817	0
10_104858110_104864912	6802	RNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1;INA;RNU11-3P;CALHM2;RP11-225H22.4	0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA;11.4817;NA;1.98250668107;NA	0
10_104864913_104865657	744	noRNA	RNU11-3P	NA	0
10_104865995_104870305	4310	noRNA	CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1;INA;FAM213A	0.147001;0.291998;0.215719;16.60583;NA;6.097645;NA;11.4817;56.4951	0
10_104870465_104875501	5036	noRNA	AS3MT;RNU6-372P;INA;RNU11-3P;MIR1307;PDCD11;USMG5	16.60583;NA;11.4817;NA;NA;62.022887;359.52441	0
10_1048756_1062635	13879	RNA	AL359878.1;GTPBP4;LARP4B;RP11-363N22.2	NA;104.25592;33.67915;NA	0
10_104876869_104881996	5127	RNA	RNU6-1231P;CYP17A1;PFN1P11;PTGES3P4;AS3MT;RNU6-372P;INA;NEURL1	NA;0.147001;0.291998;0.215719;16.60583;NA;11.4817;0.6275675	0
10_104885743_104899044	13301	RNA	CYP17A1;PFN1P11;PTGES3P4;CNNM2;RP11-724N1.1;INA;RNU11-3P	0.147001;0.291998;0.215719;6.097645;NA;11.4817;NA	0
10_104914037_104914782	745	noRNA	CYP17A1-AS1;CYP17A1	NA;0.147001	0
10_104944567_104948869	4302	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104953329_104967192	13863	RNA	AS3MT;RNU6-372P	16.60583;NA	0
10_104981001_104986826	5825	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_104986827_104992689	5862	RNA	ARL3;SFXN2;AS3MT;RNU6-372P	11.4583;21.3317814;16.60583;NA	0
10_104992690_104998597	5907	RNA	ARL3;SFXN2;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	11.4583;21.3317814;16.60583;NA;6.097645;NA	0
10_104998598_105000194	1596	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	1
10_105000195_105004236	4041	noRNA	C10orf32-ASMT;C10orf32;CNNM2;RP11-724N1.1	NA;NA;6.097645;NA	0
10_105004237_105009287	5050	noRNA	RNU6-1231P;CYP17A1;PFN1P11;PTGES3P4;CNNM2;RP11-724N1.1	NA;0.147001;0.291998;0.215719;6.097645;NA	1
10_105009288_105015484	6196	noRNA	AS3MT;RNU6-372P	16.60583;NA	0
10_105015875_105016764	889	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_105016765_105021444	4679	RNA	RNU6-1231P;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	NA;16.60583;NA;6.097645;NA	0
10_105033603_105035576	1973	noRNA	RNU6-1231P;AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	NA;16.60583;NA;6.097645;NA	0
10_105038433_105040411	1978	noRNA	CNNM2;RP11-724N1.1	6.097645;NA	0
10_105040726_105054987	14261	noRNA	CYP17A1;PFN1P11;PTGES3P4;CNNM2;RP11-724N1.1	0.147001;0.291998;0.215719;6.097645;NA	1
10_105054988_105066336	11348	noRNA	AS3MT;RNU6-372P;CNNM2;RP11-724N1.1	16.60583;NA;6.097645;NA	0
10_105077202_105080988	3786	noRNA	CYP17A1;PFN1P11;PTGES3P4	0.147001;0.291998;0.215719	0
10_105091826_105108417	16591	RNA	CYP17A1;PFN1P11;PTGES3P4	0.147001;0.291998;0.215719	1
10_105141748_105143764	2016	noRNA	CALHM2;RP11-225H22.4	1.98250668107;NA	0
10_105158462_105166955	8493	RNA	MIR1307;PDCD11;USMG5;CALHM2;RP11-225H22.4;NEURL1	NA;62.022887;359.52441;1.98250668107;NA;0.6275675	0
10_105166956_105169178	2222	noRNA	CALHM2;RP11-225H22.4;NEURL1	1.98250668107;NA;0.6275675	0
